title,salary,desc,company_name,company_address,min_salary,max_salary,address_lat,address_lon,categories
Водитель погрузчика,до 125 000 руб.,"Удостоверение машиниста-погрузчика; Условия: проезд за счет работодателя; официальное трудоустройство по ТК РФ; социальный пакет; вахтовый метод работы 30/30 либо 60/30; Предоставляем общежитие, питание;","Коммунальник, ООО",Иркутск,,125000.0,52.289597,104.280586,грузчик
Менеджер по обучению,по договоренности,"Менеджер по обучению в учебный центрОбязанности; Функциональные обязанности: организует работу по планированию и сопровождению учебных мероприятий в банке и внешних площадках; организует работу по планированию потребностей в обучении на год, составлению планов обучения и их корректировку на регулярной…",СБЕР,"Россия, Иркутск",,,52.289597,104.280586,менеджер
Менеджер телефонных продаж,от 40 900 руб.,"МТС — это цифровые сервисы, которые делают жизнь проще и интереснее. Открыт набор в команду продаж домашнего интернета и цифрового ТВ. Ты сам выбираешь удобный график и влияешь на свою премию. От нас фиксированный доход и официальное оформление. Что делать: продавать домашний интернет и цифровое ТВ…",МТС,"Иркутская область, Иркутск",40900.0,,52.289597,104.280586,менеджер
Разнорабочий на строительно-монтажные работы,70 000 — 80 000 руб.,"Вакансия компании: «Транснефть» ИП Щербаков А.В., работаю более 10 лет на общестроительных работах. Беру как прямые подряды, так и суб. Подрядные работы на объектах ПАО «Транснефть» и т. Д. Сотрудники на первом месте. Все объекты сдаем при любых условиях. Условия; Место работы Якутия, город Пеледуй;…","JCat, сервис размещения объявлений","Иркутская область, Иркутск",70000.0,80000.0,52.289597,104.280586,другое
Фасовщик заказов,80 000 — 110 000 руб.,Приглашаем фасовщиков заказов с ПОВЫШЕННОЙ оплатой! Обязанности: Фасовка интернет-заказов в соответствии со списком; Передача интернет-заказа клиенту; Требования: Принимаем БЕЗ ОПЫТА работы; Условия: Работа РЯДОМ С ДОМОМ; СВОБОДНЫЙ график работы; ВЫСОКИЕ ВЫПЛАТЫ; Быстрое обучение; Можно работать по…,Job development,Иркутск,80000.0,110000.0,52.289597,104.280586,другое
Лицензированный охранник,18 000 — 25 000 руб.,"Обеспечение безопасности охраняемого объекта; видеонаблюдение; осуществление контрольно-пропускного режима; контроль сохранности товарно-материальных ценностей (ТМЦ), инструментов, оборудования и спецтехники; предотвращение попыток хищения и порчи ТМЦ, инструментов, оборудования и спецтехники; обеспечение…","ООО ЦПО ""СЭЙВ 2000""",Иркутск,18000.0,25000.0,52.289597,104.280586,охранник
Охранник,30 000 — 90 000 руб.,"Вакансия компании: Уран; Требования: Удостоверение охранника не обязательно, (помогаем с обучением). Условия: Суточный 80-120 р./ч. (в зависимости от объекта); Дневной режим работы заработная плата от 90 до 125 руб в час; Зарплата 2 раза в месяц без задержек; Форму выдаём, в процессе работы высчитываем…",Jobers,"Иркутск, улица Пискунова, д. 135/2",30000.0,90000.0,,,охранник
Курьер,по договоренности,"Яндекс.Еда - удобный онлайн сервис, позволяющий заказать еду из ресторанов. Становитесь партнером и доставляйте заказы клиентам, делая их счастливее! Мы в поиске команды курьеров для компании, сотрудничающей с сервисом Яндекс.Еда. Условия: еженедельные выплаты (со среды по пятницу); одна из самых высоких…",МКОМ,"Иркутск, Ангарск, Братск, Вихоревка, Нижнеудинск, Тайшет, Тулун, Усолье-Сибирское, Усть-Илимск, Черемхово, Шелехов",,,,,курьер
Менеджер по продажам,40 000 — 95 000 руб.,"Уважаемый соискатель! Если ты активный, способный к обучению и стремишься к развитию своих навыков, компетентности, личному росту, умеешь и любишь общаться, то добро пожаловать в нашу команду!!! Обязанности: Продажа металлоизделий и металлоконструкций собственного производства; навыки чтения технических…","АО ""АВ-ГРУПП""",г Иркутск,40000.0,95000.0,52.06763,103.693759,менеджер
Специалист оформления стандартных сделок,по договоренности,"Чем предстоит заниматься: Внесение актуальных данных и сведений в карточку проекта в автоматизированной системе «Navision»; консультирование сотрудников АО «Сбербанк Лизинг» по вопросам, находящимся в зоне ответственности и в рамках деятельности Отдела; оформление и верификацию договорной документации…",СберЛизинг,Иркутск,,,52.289597,104.280586,другое
Курьер,82 000 — 106 000 руб.,"«Сберлогистика» — это логистический оператор федерального масштаба, развивающий собственную складскую инфраструктуру, курьерскую доставку и сеть пунктов выдачи заказов во всех регионах России. Мы приглашаем к сотрудничеству самозанятых, готовых оказывать курьерские услуги на личном автомобиле. Обязанности:…","ООО ""Сберлогистика""","Иркутск, улица Ширямова, 36",82000.0,106000.0,52.26506725,104.3465771363264,курьер
Водитель грузового автомобиля,до 110 000 руб.,"Сервис заказа такси «Максим» ценит своих водителей и не задерживает выплаты. Возможно оформление без приезда в офис. Выполняй заказы на любом автомобиле. Перевози малогабаритные грузы на легковой; Или грузовой машине — при квартирном, офисном переезде, перевозке мебели или строительных материалов. Выбирай…","Сервис заказа такси ""Максим""",г Иркутск,,110000.0,52.06763,103.693759,водитель
Водитель категории СЕ на тягач с КМУ,130 000 руб.,"Управление автомобилем Камаз 65 225 Тягач с КМУ. Категория ""СЕ"". Погрузка, разгрузка перевозка нефтесервисного оборудования. На Ярактинском НГКМ. Поддержание вверенной техники в исправном состоянии. Требования: Опыт работы на тягачах с полуприцепам оборудованным КМУ. Опыт работы вахтовым методом. Опыт…",Индивидуальный предприниматель ГЕОРГИЕВСКИЙ ВЯЧЕСЛАВ ВИКТОРОВИЧ,Иркутск,,,52.289597,104.280586,водитель
Слесарь по ремонту спецтехники,от 50 000 руб.,"В сервисном центре группы компаний «Техсервис» открыта вакансия СЛЕСАРЬ по ремонту и обслуживанию дорожно- строительной спецтехники. Требования: среднее-специальное техническое образование. Опыт ремонта и обслуживания автомобильной, спецтехники. Готовность к нечастым командировкам по области. Обязанности:…","Группа компаний ""Техсервис""","Иркутск, Ракитная улица, 12Б/1",50000.0,,,,другое
Монтажник тт/мк,от 86 069 руб.,В связи с увеличением объема работ открылась вакансия: монтажник ТТ/МК. Мы предлагаем: Bаxтa 2/1 в городе Хабаровск; График: 6/1 по 8 часов; Ставка: 400 руб./час; Трехразовое питание в столовой; Проживaние в общежитие; Развозка до объекта и обратно до места проживания; Стабильная зарплата; Полная оплата…,Севзапстрой,Иркутск,86069.0,,52.289597,104.280586,монтажник
Ведущий инженер по обслуживанию систем безопасности,по договоренности,"ООО Сбербанк-Сервис – крупнейшая ИТ-сервисная компания федерального значения. Наши офисы представлены даже в самых удаленных уголках страны, а в нашей команде уже работают более 7500 профессиональных сотрудников. Если Вы ищете стабильную работу с перспективой профессионального развития, интересными…",СберСервис,"Иркутск, Улан-Баторская улица, 47",,,52.2506311,104.25099645,другое
Водитель категории Е на Mercedes Actros,120 000 — 150 000 руб.,"В связи с расширением автопарка приглашаем на работу Водителей категории Е! Грузоперевозки по России, преимущественно на Восток (длинные рейсы, хорошие пробеги); Все автомобили Меrсеdеs-Веnz Асtrоs 1845, 1844; Оформление по ТК РФ; Своевременная и стабильная оплата труда (аванс в текущем месяце, зарплата…",Транспортно-экспедиционная компания ОЛИМП,г Иркутск,120000.0,150000.0,52.06763,103.693759,водитель
Менеджер по продажам,15 000 — 30 000 руб.,"Активные продажи канцтоваров, офисного и банковского оборудования. Требования: Аккуратность, вежливость, исполнительность, обязательность, умение вести переговоры. Желательно знание 1С (возможно обучение) Условия: Официальное трудоустроустройство; Соц. Пакет; Работа в офисе, график работы 5/2 с 9:00…",Банковские Системы,г Иркутск,15000.0,30000.0,52.06763,103.693759,менеджер
Разнорабочий на склад (вахта),80 000 — 245 000 руб.,"Ozon Сommunity - партнер Ozon. ️ПРИГЛАШАЕМ НА ВАХТУ В Г. МОСКВА, ДЛЯ ОСУЩЕСТВЛЕНИЯ ПРИЕМКИ И УПАКОВКИ ТОВАРОВ НА СКЛАДЕ OZON! МОЖНО БЕЗ ОПЫТА; Мы предоставляем БЕСПЛАТНОЕ ПРОЖИВАНИЕ, питание, компенсацию стоимости билетов. Оформление по договору ГПХ. Вахта в Москве на 30 дней (с возможностью продления)…","Компания ""OZON""",Вахта в Киренске,80000.0,245000.0,,,другое
Инженер ПТО,по договоренности,"Работа с проектами, взаимодействие с инженерно техническом персоналом на строительных участках, подготовка исполнительной документации, сдача объектов; Требования: желательно с опытом работы; Условия: официальное оформление, обеспечение спецодежой, возможны командировки;","ООО ""СИЯНИЕ""",Переезд в Улан-Удэ,,,51.8357841,107.5839105,другое
Агент по продаже недвижимости,от 45 000 руб.,"АКТИВНЫЙ поиск продавцов и покупателей; Ведение базы; Проведение сделок; Переговоры и продажи; Требования: Ответственность; Грамотная устная и письменная речь; Навык успешных продаж и переговоров; Условия: Оплата сдельная, прогрессивный процент с продаж; Работа с менеджером;","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЕРТ-НЕДВИЖИМОСТЬ""",Переезд в Ангарск,45000.0,,52.5311117,103.8826109,другое
Монтажник ЖБК,от 87 000 руб.,"Компания Регро примет на работу Арматурщиков. Зарплата 3080 руб/смена. Проезд, питание, проживание за счет предприятия. Условия: Официальное трудоустройство по ТК РФ; Спец. Одежда предоставляется; Вахта 60/30; Проживание БЕСПЛАТНО; Питание БЕСПЛАТНО; Бесплатный проезд либо компенсация проезда; Зарплата…",Регро,Вахта в Норильске,87000.0,,69.3596497,88.168718,монтажник
Охранник (вахта),33 750 — 67 500 руб.,"Мы приглашаем на работу охранников! Объект - крупный гипермаркет! МЫ ПРЕДЛАГАЕМ: Вахта на 15 и 30 дней; Заработная плата за 15 дней вахты - 33 750; Заработная плата за 30 дней вахты - 67 500; Премии по итогам работы; Бесплатное проживание недалеко от объекта, в комфортных условиях; Своевременные выплаты…","Охранная организация ""Император""",Вахта в Солнечногорске,33750.0,67500.0,,,охранник
Контролер торгового зала,от 45 000 руб.,"Не допускать вынос неоплаченного товара; Требования: Неконфликтность, внимательность, желание работать; Условия: Работа в Москве и московской области. Аванс еженедельно, зарплата без задержки",Элион,Вахта в Москве,45000.0,,55.67259515,37.48570886603453,другое
Монтажник Ст и ЖБК,74 000 — 148 000 руб.,Работа со стальными и ЖБ конструкциями; Требования: от 4-го разряда; Условия: Белая заработная плата; График вахты: 60/30; Официальное трудоустройство по ТК РФ с 1-го дня работы; Своевременная выплата заработной платы 2 раза в месяц; Авансирование 2 раза в месяц; Проживание предоставляется за счет компании…,"ООО ""СтройКом""",Вахта в Новосибирске,74000.0,148000.0,47.097095,33.2801458,монтажник
Охранник,от 122 000 руб.,"Идет новый набор охранников, охранников-водителей на вахту в г. Кировск, Мурманской обл. ( промышленные объекты АО Апатит) ЗП от 122.000 тыс руб за вахту (от 60 суток) Условия: Проживание в собственной гостинице компании, находится в черте города (номера до 4х человек, предоставляется все, для комфортного…",Мурманское охранное предприятие,Вахта в Мурманске,122000.0,,,,охранник
Лицензированный охранник,50 000 — 60 000 руб.,Обеспечение пропускного и внутриобъектового режимов на объектах охраны; Требования: Наличие удостоверения частного охранника; Ответственность;,"Охранная организация ""Илир""",Вахта в Муравленко,50000.0,60000.0,63.7947977,74.4969322,охранник
Охранник,33 000 — 90 000 руб.,Наличие удостоверения частного охранника обязательно; диплома (свидетельство) об окончании школы охранников; свидетельства о квалификационном разряде обязательно; медицинская справка формы 002-ЧО/у и 003-ЧО/у; Условия: График работы вахта (объекты и посты по согласованию с начальником охраны) Cменный…,СПЕЦИФИК. ЧОП,Вахта в Москве,33000.0,90000.0,55.67259515,37.48570886603453,охранник
Менеджер склада,37 000 — 50 000 руб.,"Алтай ищет звезды! Самый масштабный гостиничный проект России на Алтае - Всесезонный пятизвездочный курорт «Манжерок» готовится открыть свои двери гостям, и рад пригласить в свою команду менеджера склада; Какие задачи необходимо будет решать: Приемка, погрузка, выгрузка ТМЦ (товара) Внутри складская…",Всесезонный курорт Манжерок,Переезд в Манжерок,37000.0,50000.0,51.8296084,85.7792275,менеджер
Токарь-универсал (г. Ступино),от 84 000 руб.,"В нашей компании открыта вакансия токарь универсал на металлургическое производство в г. Ступино, Московская область. Работать можно постоянно или по вахтам! Иногородним предоставляется жилье за счет работодателя! Наличие разряда будет Вашим преимуществом! Обязанности: Изготовление форм и полуфабрикатов…",ООО Деловой подход,Переезд в Ступино,84000.0,,54.886598,38.0772589,другое
Продавец-консультант,от 20 000 руб.,Прием и расстановка товаров; Консультирование покупателей; Ведение и учет кассовых документов; Прием наличных и безналичных средств оплаты; Оформление и выдача чеков; Контроль товарного запаса (составление заявок) Контроль за размещением и наличием ценников; Сверка наличных средств в контрольно-кассовой…,Лобанова Людмила Александровна,Переезд в Саянск,20000.0,,54.1123301,102.1785158,продавец
Машинист автогрейдера,до 143 750 руб.,"Приглашаем МАШИНИСТА АВТОГРЕЙДЕРА для работы вахтовым методом в Якутии, Амурской обл., Хабаровске- строительство и содержание федеральной трассы; Мы предлагаем: Трудоустройство в соответствии с ТК РФ; Своевременная выплата заработной платы; Проживание в вагон-городке; Трехразовое питание в столовой…","ООО ""ГазПромСтрой Сибирь""",Вахта в Алдане,,143750.0,28.5824963,-81.5314581,машинист
Электромонтажник,80 000 — 90 000 руб.,"Прокладка монтаж кабельных трасс; монтаж линий электропередач; сборка монтаж и подключение электрооборудования 0,4/6/10 кВ; Требования: опыт работ не менее 1 года; Условия: проезд, питание, проживание за счет организации;",Вольт-эм,Вахта в Петропавловске-Камчатском,80000.0,90000.0,,,монтажник
Водитель грузового автомобиля (самосвала),150 000 руб.,Водитель САМОСВАЛА; Сдельная оплата труда 150 т.р. Сменный график; Работа вахтовым методом; Обязанности: Работа на отсыпке (Иркутская область) Контроль технического состояния транспортного средства; Текущий ремонт автомобиля; Требования: Готовность к вахтовому характеру работы; Знание технической части…,"ООО ""Калина+""",Вахта в Магистральном,,,,,водитель
Белый медведь,по договоренности,"Ты знаешь, как построить хорошую берлогу; интерес и хорошее отношение к людям; визионерство; большой мокрый нос; готовность плыть на льдине, как на бригантине; Условия: гибкий график; agile-подход к работе; обучение на месте за счет работодателя; Вакансия является шуточной (фантазийной) и размещена…",Зимняя сказка,Переезд в Москву,,,55.9436351,37.19641079070367,другое
Машинист экскаватора,130 000 руб.,"В компанию ""Транспортная логистика"" в связи с открытием новых площадок требуется Машинист экскаватора. Обязанности: Погрузка автомобильного транспорта; Буртование щебня, песка, гравия; Вскрышные работы, формирование дорожных откосов; Требования: Опыт работы на экскаваторах от 3х лет; Бережное отношение…","ООО ""Транспортная Логистика""",Вахта в Нефтеюганске,,,,,машинист
Ведущий инженер производственно-технического отдела,180 000 — 250 000 руб.,На предприятие требуется Ведущий инженер производственно-технического отдела; Обязанности: Составление и согласование планов работ по капитальному/текущему ремонту скважин. Координация работ по выполнению капитального/текущего ремонта скважин цеховыми подразделениями Общества. Формирование пакета документации…,Научно-технический центр капитального ремонта скважин,Вахта в Новом Уренгое,180000.0,250000.0,66.1162878,76.69008925434015,другое
Курьер,52 480 — 78 720 руб.,ООО Лидер Консалт - официальный партнер доставки Самокат приглашает к сотрудничеству курьеров. Звони прямо сейчас! Приходи доставлять заказы клиентам Самоката. Мы подберем даркстор в пешей доступности от твоего дома; Более 50% директоров даркстор начинали с курьерской доставки; Доход - не зависит от…,Самокат ( ООО Лидер консалт),Переезд в Томск,52480.0,78720.0,58.6124279,82.0475315,курьер
Курьер,65 000 — 112 000 руб.,Тебя приветствует компания «Сервис ПРО». Мы являемся официальным партнером сервиса «Самокат». На рынке более 5-ти лет. Работа в Вашем городе. Гарантируем: Своевременную оплату. Стабильность. Лояльность к сотрудникам. Кураторскую поддержку. Работаем во всех городах России. Мы объявляем набор на вакансию…,"ООО ""СЕРВИС ПРО""",Переезд в Москву,65000.0,112000.0,55.9436351,37.19641079070367,курьер
Техник-сантехник (вахта),40 000 — 80 000 руб.,Хорошие профессиональные навыки; Обязанности: Эксплуатация нежилых зданий; Устранение и локализация аварийных ситуаций на инженерных сетях; Монтаж сантехнического и теплотехнического оборудования; Условия: Прямой работодатель; Оформление по ТК РФ; График работы сменный (вахта) 15/15. Заработанная плата…,АльянсСервис,Вахта в Москве,40000.0,80000.0,55.67259515,37.48570886603453,другое
Водитель грузового автомобиля,130 000 — 140 000 руб.,"Компания предоставляет проживание, питание, дорогу из пункта сбора за счет компании!! Обязанности: выполнение работ заказчика на объекте; проводить своевременно ТО (замена фильтров и масел) Требования: опыт работы не менее 3х лет, ВУ категория С; Условия: официальное трудоустройство; полный соц. Пакет…",Нанострой,Вахта в Сургуте,130000.0,140000.0,61.25116675,73.3903473378522,водитель
Помощник машиниста буровой установки,по договоренности,"Подготовка буровой площадки, разметка скважин, установка буровой по азимуту и углу наклона. Участие в процессе бурения, приготовление буровых растворов, спуско-подъемные операции. Замена бурового инструмента. Наблюдение за контрольно измерительными приборами. Обеспечение бесперебойной работы буровой…","ООО ""ДОН ПЕСЧАНКА""",Вахта в Билибино,,,68.0550305,166.4448515,машинист
Машинист на трактор  Комацу-355,от 120 000 руб.,"Работа на тракторе Каматцу-355 на Ковыктинского месторождения; Требования: Опыт работы, действующая медкомиссия; Условия: Работа на севере Усть-Кута Ярахта, Иркутская область) питание на объекте компенсируется работодателем; спецодежда предоставляется; вахта 30х30; проживание в деревянных домиках на…",Индивидуальный предприниматель КОЛОСКОВА МАРИНА НИКОЛАЕВНА,Вахта в Усть-Куте,120000.0,,,,машинист
Web-разработчик,по договоренности,"Обязанность; Разрабатывание CRM - системы, умение работать как в frontend так и в backend; Требования: JavaScript ES6, Typescript; React.js, effector/MobX/Redux (понимание как работает любой из стейт менеджеров у нас на проекте используется effector) Будет плюсом, NodeJs, PostgreSQL, Sequelize; Webpack…",,Удаленная работа,,,,,программист
Менеджер по работе с клиентами,50 000 — 80 000 руб.,"Крупная федеральная компания в сфере тендерного сопровождения сделок, ищет на постоянную основу сотрудника для предоставления интересов компании на территории Краснодарского края (консультирование и проведение переговоров с потенциальными клиентами). Прежде чем откликнуться, прочтите описание вакансии…",Индивидуальный предприниматель КУЧЕТАРОВ АРТУР РАМИЛЕВИЧ,Удаленная работа,50000.0,80000.0,,,менеджер
Менеджер по продажам,40 000 — 110 000 руб.,"Вести переговоры с клиентами, в т.ч. С первыми лицами; осуществлять продажу IT-продукта компании; заключение договоров, сопровождение; работа с клиентской базой; Требования: Опыт в продажах от 0.5 года; Опыт в продажах B2B (желательно) Опыт выхода на ЛПР желательно) Опыт работы в СRM; Условия: график…",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КРАЙЕР НАТАЛЬЯ АЛЕКСАНДРОВНА,Удаленная работа,40000.0,110000.0,,,менеджер
Менеджер по работе с клиентами,до 90 000 руб.,"В онлайн-школу приглашаем менеджеров, для удалённого сотрудничества. Мы предлагаем: Регулярные выплаты, фиксированная часть + бонусы; Комфортный удаленный формат и различные варианты графика 5/2 (полная и частичная занятость); Бесплатное обучение и возможности для профессионального роста; Бесплатную…",Skyeng & Skysmart,Удаленная работа,,90000.0,,,менеджер
Оператор контакт-центра,35 000 — 45 000 руб.,"Мы INSOFT - это успешно развивающаяся компания с 15-летним опытом работы на рынке аутсорсинговых сall-центров, мы входим в ТОП-10 ведущих контактных центров страны. Мы успешно реализовали более 2500 крупных проектов и продолжаем развивать новые направления! В связи с активным развитием Компании, мы…","Телекоммуникационная компания ""INSOFT""",Удаленная работа,35000.0,45000.0,,,оператор
Менеджер службы поддержки Яндекс. Еда,25 000 — 42 000 руб.,"Яндекс.Еда — это сервис заказа еды из ресторанов и магазинов в более чем 170 городах России, Казахстана и Беларуси. Пользователи заказывают свою любимую еду на сайте или в мобильном приложении и наши курьеры аккуратно и быстро доставляют её. Мы активно растем и делаем сытыми и счастливыми всё больше…",Яндекс.Такси,Удаленная работа,25000.0,42000.0,,,менеджер
Менеджер по продажам,по договоренности,"Развитие оптовых продаж; Привлечение новых клиентов; Ведение переговоров; Отчетность по проделанной работы; Ведение клиента от договора до поставки товара; Выполнение плановых показателей: Требования: Опыт работы на должности от 1 года; Владение техникой продаж; Уверенный пользователь ПК, 1С, CRM. B2D…","ООО ""БИОНИКА""",Удаленная работа,,,,,менеджер
Специалист по тендерам,70 000 — 150 000 руб.,"Ищем специалиста по работе с тендерами с опытом. Мы формируем надежную команду, с которой будем двигаться в перед и добиваться высоких финансовых показателей. Наша компания не зацикливается на одной нише, мы работаем по многим направлениям, что позволяет обрабатывать большое количество тендеров. Ищем…","ООО ""ТПК ""ПОСТАВЩИК""",Удаленная работа,70000.0,150000.0,,,другое
Администратор,25 000 — 30 000 руб.,"Ищем удаленного администратора в сеть массажных кабинетов. Что ты получишь: График работы 2/2 с 10:00 до 22:00; Работа на дому; Своевременная оплата: раз в неделю; Дружный коллектив, лояльное руководство, теплая атмосфера! Возможность посещать массаж с хорошей скидкой; УСЛОВИЯ: Рабочее место - у Вас…","ООО ""Наш Массаж""",Удаленная работа,25000.0,30000.0,,,администратор
Оператор call-центра,60 000 — 120 000 руб.,"Подбор персонала на постоянную или временную работу и т.д. Размещение объявлений об открытых вакансиях на профильных сайтах, досках объявлений, в соц..сетях, печатных изданиях газет и журналов, реклама в почтовых ящиках и т.д.); Прием и обработка входящих звонков от кандидатов, проведение первичных…",Индивидуальный предприниматель КОСТРОВА КРИСТИНА АЛЕКСАНДРОВНА,Удаленная работа,60000.0,120000.0,,,оператор
Бухгалтер,по договоренности,"Первичка, банк, зарплата, отчетность; Требования: опыт работы от 1 года; Условия: работа удаленно из дома, возможно совмещение, неполный рабочий день;",Школа занимательной математики UCHI.RU в Академическом р-не г. Екатеринбурга,Удаленная работа,,,,,бухгалтер
Менеджер по продажам,45 000 — 150 000 руб.,"Обработка входящих лидов; продажи продукта с чеком 490 000 рублей, клиент оставляет заявку уже зная цену услуги; сбор обратной связи от клиента после реализации услуги; переписка с клиентом в Whats App, Telegram, Email; Требования: ВАЖНО иметь силы и время обрабатывать 20 входящих обращений в день и…",Era Media,Удаленная работа,45000.0,150000.0,,,менеджер
Дизайнер визуальных коммуникаций,по договоренности,"ОКБ (Объединённое кредитное бюро) — это бюро кредитных историй. Мы храним кредитные истории заёмщиков из разных банков и финансовых организаций. У нас есть платформа Кредистория — сайт для физических лиц, где любой человек может посмотреть свои записи о кредитах и платежах, подобрать новый кредит и…",Объединенное Кредитное Бюро,Удаленная работа,,,,,другое
Java-разработчик,по договоренности,"Анализ требований, декомпозиция задач; Создание новых и поддержка существующих сервисов; Проектирование и разработка модулей системы; Refactoring; Code-review; Разработка Unit-тестов; Разработка и актуализация технической документации; Участие в обсуждении и принятии архитектурных решений; Работа в…",СберФакторинг,Удаленная работа,,,,,программист
Специалист по безопасности мореплавания (удалённо),до 17 500 руб.,Обеспечение безопасности морских перевозок. Требования: Диплом капитана (прибрежного либо дальнего плавания); Диплом о специализации (если есть); Трудовая книжка с записями о стаже по данному направлению; Опыт работы не менее 3-х лет в данной структуре; Лицензия на осуществление данной деятельности;…,Mriya Resort & SPA,Удаленная работа,,17500.0,,,другое
Менеджер по продажам ювелирных изделий (онлайн продажи),25 000 — 100 000 руб.,"Что требуется делать: Обрабатывать входящие заявки, вносить информацию в систему CRM (данные по клиенту, по заказу и прочее); Общаться на различных платформах с нашими клиентами по ассортименту, характеристикам, ценам и срокам доставки товаров; Помогать клиентам в выборе товара, максимально тактично…",Папян Ольга Рафаэлевна,Удаленная работа,25000.0,100000.0,,,менеджер
Оператор,40 000 — 55 000 руб.,"Работа с текстами (заполнение, проверка) работа с почтой; работа с таблицами; Условия работы: удалённая работа из дома; есть обучение и поддержка на всех этапах; карьерный рост; Требование: Наличие ПК; Скоростной интернет; Умение работать с вордовскими документами;",Андрейченко Виктория Александровна,Удаленная работа,40000.0,55000.0,,,оператор
Оператор call-центра,25 000 — 48 000 руб.,"Приглашаем на удаленную работу сотрудников. Мы ищем в команду тех, кто любит говорить и этим зарабатывать. Предлагаем Вам работу из дома с сохранением всех условий офисной работы, все что нужно сейчас стабильный интернет и ПК. Обязанности: Исходящий обзвон по предоставленной базе и по готовому скрипту…",Partnersbank,Удаленная работа,25000.0,48000.0,,,оператор
Оператор колл-центра (удаленно),от 30 000 руб.,Мы в поисках команды удаленных операторов в Контакт-Центр № 1; Для заявки на вакансию оставьте отклик! После отклика в приглашении мы пришлем Вам анкету для заполнения. После заполнения анкеты Вам позвонит оператор и подробно проконсультирует по условиям. Что нужно делать? Вы будете принимать входящие…,Лукашенко Ирина Ильинична,Удаленная работа,30000.0,,,,оператор
Менеджер (удалённо),по договоренности,"Разработка и размещение рекламы/объявлений; Консультирование; Подбор и развитие персонала; Оформление заявок; Требования: Активность; Ответственность; Клиентоориентированность; Обучаемость; Наличие ПК/ноутбука/телефона поддерживающий соц.сети, мессенджеры, ютуб; Условия: График свободный, удалённая…",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СЕМЕНЕЦ АЛЕКСЕЙ АЛЕКСАНДРОВИЧ,Удаленная работа,,,,,менеджер
