title,salary,desc,company_name,company_address,min_salary,max_salary,address_lat,address_lon,categories
Распиловщик,30 000 — 40 000 руб.,Опыт работы на производстве; Знать стандарты работы; Условия: 5/2 график работы; Обучение возможно;,ООО Тандем Комфорт,"Иркутск, ул Фридриха Энгельса 34",30000.0,40000.0,52.2883324,104.3075573,другое
Продавец-кассир,от 36 000 руб.,Консультирование клиентов по продукции; Информирование о специальных акциях и предложениях; Поддержание порядка в магазине; Подготовка товара к продаже; Работа на компьютерной кассе; Требования: Опыт работы не имеет значения. Всему научим! Закончили школу ? Любите общение и активную деятельность? Нацелены…,Детский мир,"г Иркутск, ул Октябрьской Революции, д 1/3",36000.0,,,,продавец
Дворник,до 38 000 руб.,"Мы предлагаем: График работы 6/1 с 7.00 до 18.00, перерыв на обед с 12:00 до 13:00; Стабильную выплату заработной платы; Предоставляется спецодежда; Ул. Октябрьской революции 1., район автовокзала. Обязанности: Работа на улице; Уборка снега, уборка территории от грязи; Требования: Без предъявления требований…","""РТ-НЭО Иркутск""","г Иркутск, ул Октябрьской Революции, д 1",,38000.0,,,другое
Инженер-сметчик,30 000 — 60 000 руб.,Составление сметной документации; Требования: умение работать в необходимых программных комплексах; Условия: полный рабочий день;,"ООО ""РЦЦС""","г Иркутск, ул Советская, д 3, офис 310",30000.0,60000.0,,,другое
Автомойщик,40 000 — 80 000 руб.,"В крупный автомоечный комплекс "" COOPER"" на постоянной основе требуются автомойщики. Мы предлагаем: Высокую заработную плату. Сменный график работы: 2/2, так же возможен индивидуальный график работы и подработка для студентов. Выдача фирменной спецодежды и средств защиты. Доставка до дома транспортом…","ООО ""ТРИУМФ"" (АМК COOPER)","г Иркутск, ул Карла Либкнехта, д 94",40000.0,80000.0,,,другое
Администратор медицинского центра,30 000 руб.,"Лабораторная служба Хеликс сегодня: 5 высокотехнологичных Лабораторных комплексов; Более 500 медицинских центров в 130 городах; Более 2500 сотрудников, объединённых общими целями и ценностями; Присоединяйтесь к нам! Обязанности: Встреча, прием и оформление клиентов; Презентация услуг Компании и помощь…",Лабораторная служба Хеликс,"Иркутск, ул Гоголя, д 2",,,52.7661796,103.6398993,администратор
Стоматолог-хирург,по договоренности,Удаление зубов. ЗУБОСОХРАНЯЮЩИЕ ОПЕРАЦИи; Требования: Опыт работы в аналогичной должности; Условия: график посменный;,"Стоматологический центр ""С-Клиник"", ООО","Иркутск, Александра Невского, 19",,,52.2786306,104.3086269648419,другое
Курьер,80 000 — 100 000 руб.,"Предлагаем присоединиться к нашей команде курьеров и наконец получать от работы не только хороший заработок, но и крутые условия! От нас: Стабильный график на твой выбор: 2\2,3\3,4\3,5\2,6\1,7\0, смена по 12 часов. Возможна подработка или совмещение с другой работой. Высокий доход, который складывается…",GoodJob,"Иркутск, ул Седова",80000.0,100000.0,52.2655485,104.3077978,курьер
Повар холодного цеха в столовую,от 30 000 руб.,Готовить салаты и стоять на раздаче; Требования: от 5 лет Профессиональные навыки приготовления салатов и обслуживание посетителей на раздаче готовой продукции; Условия: Режим работы 07-00 ДО 17-00 Суббота- Воскресенье Выходной Праздничные дни выходные; Питание;,Индивидуальный предприниматель РЯБОВ АЛЕКСАНДР НИКОЛАЕВИЧ,"Иркутск, ул Карла Либкнехта, д 121",30000.0,,52.2852692,104.298224,другое
Автомеханик-автослесарь,40 000 — 70 000 руб.,"Диагностика, ремонт и обслуживание легковых автомобилей; Требования: Опыт от 1 года; Условия: Стабильный заработок; Оф. Трудоустройство; Обучение;",Индивидуальный предприниматель ШИТИН ЕВГЕНИЙ СЕРГЕЕВИЧ,"Иркутск, ул Маяковского, д 69Б",40000.0,70000.0,,,другое
Курьер,до 81 000 руб.,"СРОЧНО требуется Курьер/Доставщик в Яндекс.Еда; (Доставка еды или доставка продуктов со склада,магазина) Зарабатывай с свободное время! Для трудоустройства нажмите ОТКЛИКНУТЬСЯ или напишите КУРЬЕР в WhatsApp по номеру из объявления оформление 24/7) Условия: Доход до 3400р/день+ большие чаевые. Ежедневные…","Официальный Партнер ""Яндекс Еда""","г Иркутск, ул Автомобильная",,81000.0,52.27290055,104.24206232186256,курьер
Медицинский регистратор,15 000 — 25 000 руб.,"Регистрировать, разбирать биологический материал, работа с партнерами, прием звонков, разбор результатов. Требования: Высшее, среднее профессиональное образование, предпочтение медицинское. Знание ПК в совершенстве, умение работать с оргтехникой, не брезгливый ( работа с биоматериалом), дисциплинировать…","ООО ""АНАЛИЗ.38""","Иркутск, ул Щорса, д 2/4",15000.0,25000.0,,,другое
Слесарь по ремонту спецтехники производства КНР,25 000 — 150 000 руб.,"Выполнять работу по техническому обслуживанию спецтехники: разборка ремонт, сборка; сервисное обслуживание, гарантийное обслуживание, ремонт агрегатов. Требования: Опыт ремонтных работ специальной техники; Условия: официальное трудоустройство; график работы 09.00- 17.30. Оклад 25 000+ процент. Основная…","ООО ""ТЕХСИБ""","Иркутск, ул Мало-Якутская, д 19/4",25000.0,150000.0,,,другое
Оператор-кассир АЗС,30 000 — 45 000 руб.,"Работа на кассе; Обслуживание клиентов в торговом зале; Работа с товаром; Поддержание чистоты и порядка на АЗС. Требования: Знание ПК; Энергичность, ответственность, коммуникабельность; Нам требуются активные, целеустремленные сотрудники. Условия: В нашей компании вы сможете приобрести опыт работы в…",Сеть АЗС БРК,"Иркутск, ул Лермонтова, д 93",30000.0,45000.0,52.2687452,104.2569329,оператор
Руководитель кадровой службы,45 000 руб.,"Ведение кадрового делопроизводства; Учет, хранение и ведение трудовых книжек; Ведение воинского учета; Составление табеля и выполнение графиков отпусков; Оформлять приемы, переводы и увольнения работников в соответствии с трудовым законодательством, приказами и распоряжениями руководителя; Формировать…","ООО МКК ""ГАМАНОК""","г Иркутск, ул Ядринцева, д 1/7",,,,,руководитель
Дежурный тренер Тренажерного зала,от 15 000 руб.,"Обеспечение порядка и комфортного температурного режима в тренажерном зале, проведение вводных инструктажей, презентаций зала, консультирование членов клуба; Требования: Наличие диплома/сертификата «Инструктор тренажерного зала», коммуникабельность, ответственность, отсутствие вpeдных пpивычек. Опыт…",ООО «Бизнес решение»,"Иркутск, ул Депутатская, д 63/2",15000.0,,,,другое
Продавец-консультант,25 000 — 70 000 руб.,Работа с покупателем в салоне; Консультация по ассортименту; Работа с программами; Оформление договоров; Требования: Активность и открытость; Коммуникабельность и доброжелательность; Грамотная речь; Уверенное владение ПК. Условия: Официальное трудоустройство ТК РФ; Своевременная заработная плата; Достойная…,"Салоны мебели ""Любимый дом""","Иркутск, ул Сергеева, д 3 стр 1",25000.0,70000.0,,,продавец
Шлифовщик-расточник ГБЦ,по договоренности,"Шлифовка и расточка головок и блоков цилиндров; Требования: Опыт работы в данной должности 1-3 года; Условия: пн-пт с 09:00 до 18:00, обед с 13:00 до 14:00;","ООО ""Дизель""","г Иркутск, ул Сергеева, д 3/6",,,,,другое
Продавец-консультант,по договоренности,"Работай в COLINS! Наши команды ждут тебя! Что хотим от кандидата: Энтузиазм новичка – желание работать; Активность и смелость. На тебя всегда можно положиться; Ты честный! И готов быть таким для покупателя, коллег и компании; Ты доброжелателен к людям, у тебя грамотная речь, ты понимаешь, что клиент…",COLIN'S,"г Иркутск, ул Сергеева, д 3/5",,,,,продавец
Сборщик\Сборщица интернет заказов выходного дня,54 267 — 62 670 руб.,"Открывается набор на позицию Сборщик и Сборщица заказов! Задержек нет, выплаты один РАЗ В НЕДЕЛЮ! Рассматриваются все кандидаты, даже БЕЗ ОПЫТА - мы всему обучаем! Можно выбрать любое удобное местоположение в разных районах города! Различные варианты графиков (полный день, выходные и т.д.)! Обязанности:…","Кадровое агентство ""Пальма-HR""","г Иркутск, ул Сергеева, д 3/5",54267.0,62670.0,,,другое
Менеджер по продажам,80 000 — 200 000 руб.,"Менеджер по продажам; Требования: Умение общаться с людьми, уверенный пользователь ПК, опыт продаж. Условия: Полный рабочий день. Оф. Трудоустройство. Оклад + хороший % с продаж.","ООО ""АРМЕТ""","Иркутск, ул Трактовая, стр 18/2 к 5",80000.0,200000.0,,,менеджер
Продавец-консультант,30 000 — 50 000 руб.,"Активная продажа (розница, опт) резинотехнических изделий. Требования: Честность, порядочность, доверие! Условия: Магазин автономный, все условия для комфортной работы. Рядом Кафе, столовая.",ИП Татаров Владимир Александрович,"Иркутск, ул Трактовая, д 9/6 стр 28",30000.0,50000.0,,,продавец
